,Date,Open*,High,Low,Close**,Volume,Market Cap
54,"Oct 25, 2019",7490.7,8691.54,7479.98,8660.7,"28,705,065,488","156,006,603,607"
55,"Oct 24, 2019",7509.73,7532.87,7446.99,7493.49,"16,268,708,849","134,968,410,276"
56,"Oct 23, 2019",8076.23,8093.0,7469.32,7514.67,"21,942,878,958","135,337,364,282"
57,"Oct 22, 2019",8243.4,8296.65,8074.46,8078.2,"16,803,377,857","145,469,660,005"
58,"Oct 21, 2019",8225.12,8296.69,8196.42,8243.72,"15,868,748,866","148,432,733,155"
59,"Oct 20, 2019",7997.81,8281.82,7949.44,8222.08,"15,504,249,442","148,026,597,064"
60,"Oct 19, 2019",7973.8,8082.63,7944.78,7988.56,"13,797,825,640","143,808,163,807"
61,"Oct 18, 2019",8100.93,8138.41,7902.16,7973.21,"15,651,592,610","143,517,630,376"
62,"Oct 17, 2019",8047.81,8134.83,8000.94,8103.91,"14,313,052,244","145,853,994,298"
63,"Oct 16, 2019",8204.67,8216.81,7985.09,8047.53,"16,071,646,996","144,823,993,562"
64,"Oct 15, 2019",8373.46,8410.71,8182.71,8205.37,"15,220,412,632","147,650,082,215"
65,"Oct 14, 2019",8320.83,8390.21,8284.13,8374.69,"15,151,387,859","150,680,499,056"
66,"Oct 13, 2019",8336.9,8470.99,8276.61,8321.01,"13,808,286,059","149,700,817,939"
67,"Oct 12, 2019",8315.66,8415.24,8313.34,8336.56,"14,532,641,605","149,965,767,624"
68,"Oct 11, 2019",8585.26,8721.78,8316.18,8321.76,"19,604,381,101","149,685,618,275"
69,"Oct 10, 2019",8585.28,8625.27,8471.93,8586.47,"17,618,660,671","154,430,515,160"
70,"Oct 09, 2019",8229.84,8627.71,8169.3,8595.74,"19,384,942,333","154,579,656,110"
71,"Oct 08, 2019",8246.85,8332.72,8185.76,8228.78,"15,592,264,032","147,966,069,982"
72,"Oct 07, 2019",7989.12,8308.45,7905.77,8245.62,"18,009,742,607","148,252,589,805"
73,"Oct 06, 2019",8149.88,8161.41,7958.85,7988.16,"13,160,830,305","143,607,672,862"
74,"Oct 05, 2019",8210.15,8215.53,8071.12,8151.5,"12,200,497,197","146,529,229,668"
75,"Oct 04, 2019",8259.49,8260.06,8151.24,8205.94,"13,139,456,229","147,491,804,056"
76,"Oct 03, 2019",8390.77,8414.23,8146.44,8259.99,"13,668,823,409","148,448,162,840"
77,"Oct 02, 2019",8344.21,8393.04,8227.7,8393.04,"13,125,712,443","150,823,797,662"
78,"Oct 01, 2019",8299.72,8497.69,8232.68,8343.28,"15,305,343,413","149,913,972,768"
79,"Sep 30, 2019",8104.23,8314.23,7830.76,8293.87,"17,115,474,183","149,011,567,415"
80,"Sep 29, 2019",8246.04,8261.71,7990.5,8104.19,"13,034,629,109","145,590,374,681"
81,"Sep 28, 2019",8251.27,8285.62,8125.43,8245.92,"14,141,152,736","148,122,503,616"
82,"Sep 27, 2019",8113.1,8271.52,7965.92,8251.85,"16,408,941,156","148,212,635,834"
83,"Sep 26, 2019",8487.67,8515.69,7895.63,8118.97,"19,258,205,289","145,812,492,488"
84,"Sep 25, 2019",8603.43,8744.83,8325.4,8486.99,"21,744,728,353","152,404,005,091"
85,"Sep 24, 2019",9729.32,9804.32,8370.8,8620.57,"25,002,886,689","154,785,821,876"
86,"Sep 23, 2019",10067.96,10074.24,9727.14,9729.32,"15,144,925,408","174,674,558,023"
87,"Sep 22, 2019",10024.12,10074.44,9922.53,10070.39,"13,199,651,698","180,784,051,699"
88,"Sep 21, 2019",10183.65,10188.1,10000.71,10019.72,"13,425,266,806","179,853,287,294"
89,"Sep 20, 2019",10266.32,10285.87,10132.19,10181.64,"14,734,189,639","182,738,947,696"
90,"Sep 19, 2019",10200.5,10295.67,9851.69,10266.41,"19,937,691,247","184,240,949,577"
91,"Sep 18, 2019",10247.8,10275.93,10191.47,10198.25,"16,169,268,880","182,998,899,156"
92,"Sep 17, 2019",10281.51,10296.77,10199.74,10241.27,"15,304,603,363","183,748,515,828"
93,"Sep 16, 2019",10347.22,10386.87,10189.74,10276.79,"15,160,167,779","184,366,827,555"
94,"Sep 15, 2019",10356.47,10387.03,10313.09,10347.71,"12,043,433,567","185,618,174,384"
95,"Sep 14, 2019",10345.4,10422.13,10291.69,10358.05,"13,468,713,124","185,784,300,332"
96,"Sep 13, 2019",10415.36,10441.49,10226.6,10360.55,"14,109,864,675","185,809,163,035"
97,"Sep 12, 2019",10176.82,10442.25,10099.24,10410.13,"15,323,563,925","186,678,943,059"
98,"Sep 11, 2019",10123.03,10215.95,9980.78,10178.37,"15,428,063,426","182,502,788,242"
99,"Sep 10, 2019",10336.41,10394.35,10020.57,10115.98,"14,906,809,639","181,360,731,383"
100,"Sep 09, 2019",10443.23,10450.31,10144.93,10334.97,"17,595,943,368","185,263,578,990"
101,"Sep 08, 2019",10518.11,10595.64,10409.09,10441.28,"13,670,567,493","187,150,078,007"
102,"Sep 07, 2019",10353.93,10558.67,10348.92,10517.25,"15,307,366,476","188,488,525,926"
103,"Sep 06, 2019",10578.2,10898.76,10292.3,10353.3,"19,536,574,783","185,530,405,363"
104,"Sep 05, 2019",10588.18,10627.27,10516.42,10575.53,"14,551,239,508","189,492,405,383"
105,"Sep 04, 2019",10621.18,10762.64,10434.71,10594.49,"16,742,664,769","189,810,010,608"
106,"Sep 03, 2019",10345.73,10736.1,10308.55,10623.54,"19,384,917,989","190,312,487,956"
107,"Sep 02, 2019",9757.47,10396.59,9730.65,10346.76,"17,248,102,294","185,333,114,163"
108,"Sep 01, 2019",9630.59,9796.76,9582.94,9757.97,"11,445,355,859","174,768,292,883"
109,"Aug 31, 2019",9597.54,9673.22,9531.8,9630.66,"11,454,806,419","172,470,743,516"
110,"Aug 30, 2019",9514.84,9656.12,9428.3,9598.17,"13,595,263,986","171,869,216,524"
111,"Aug 29, 2019",9756.79,9756.79,9421.63,9510.2,"17,045,878,501","170,274,910,132"
112,"Aug 28, 2019",10203.43,10279.37,9716.66,9754.42,"17,603,790,323","174,627,460,400"
113,"Aug 27, 2019",10372.83,10381.33,10087.3,10185.5,"14,762,609,503","182,325,540,955"
114,"Aug 26, 2019",10126.3,10512.33,10126.3,10370.82,"18,438,654,080","185,625,235,889"
115,"Aug 25, 2019",10160.74,10304.62,10008.79,10138.52,"14,153,856,610","181,450,186,164"
116,"Aug 24, 2019",10407.64,10418.02,9982.3,10159.96,"15,451,030,650","181,813,631,752"
